id,name,region,level,type,lat,lon,relations
PER-INMP,INMP,Lima,III-1,Instituto,-12.063,-77.043,[]
PER-INEN,INEN,Lima,III-1,Instituto,-12.085,-77.047,[]
PER-INCOR,INCOR,Lima,III-1,Instituto,-12.068,-77.043,[]
PER-HNAL,HNAL,Lima,III-1,Hospital,-12.071,-77.013,[]
AYA-HII-001,Hospital II Ayacucho #1,Ayacucho,II-1,Hospital,-13.381971,-74.785624,"[{""target_id"": ""PER-HNAL"", ""weight_km"": 282.155, ""level_gap"": 1}, {""target_id"": ""PER-INEN"", ""weight_km"": 284.521, ""level_gap"": 1}]"
AYA-HII-002,Hospital II Ayacucho #2,Ayacucho,II-2,Hospital,-12.969823,-74.912653,"[{""target_id"": ""PER-HNAL"", ""weight_km"": 248.935, ""level_gap"": 1}, {""target_id"": ""PER-INEN"", ""weight_km"": 251.701, ""level_gap"": 1}]"
AYA-HII-003,Hospital II Ayacucho #3,Ayacucho,II-1,Hospital,-13.114789,-74.437584,"[{""target_id"": ""PER-HNAL"", ""weight_km"": 302.62, ""level_gap"": 1}, {""target_id"": ""PER-INEN"", ""weight_km"": 305.437, ""level_gap"": 1}]"
AYA-HII-004,Hospital II Ayacucho #4,Ayacucho,II-2,Hospital,-13.716921,-74.207954,"[{""target_id"": ""PER-HNAL"", ""weight_km"": 354.865, ""level_gap"": 1}, {""target_id"": ""PER-INEN"", ""weight_km"": 357.226, ""level_gap"": 1}]"
AYA-HII-005,Hospital II Ayacucho #5,Ayacucho,II-1,Hospital,-13.742755,-74.327494,"[{""target_id"": ""PER-HNAL"", ""weight_km"": 345.354, ""level_gap"": 1}, {""target_id"": ""PER-INEN"", ""weight_km"": 347.63, ""level_gap"": 1}]"
AYA-HII-006,Hospital II Ayacucho #6,Ayacucho,II-2,Hospital,-13.701982,-74.883045,"[{""target_id"": ""PER-HNAL"", ""weight_km"": 293.58, ""level_gap"": 1}, {""target_id"": ""PER-INEN"", ""weight_km"": 295.532, ""level_gap"": 1}]"
AYA-HII-007,Hospital II Ayacucho #7,Ayacucho,II-1,Hospital,-13.255106,-73.6905,"[{""target_id"": ""PER-HNAL"", ""weight_km"": 383.744, ""level_gap"": 1}, {""target_id"": ""PER-INEN"", ""weight_km"": 386.675, ""level_gap"": 1}]"
AYA-HII-008,Hospital II Ayacucho #8,Ayacucho,II-2,Hospital,-13.63401,-74.668353,"[{""target_id"": ""PER-HNAL"", ""weight_km"": 307.91, ""level_gap"": 1}, {""target_id"": ""PER-INEN"", ""weight_km"": 310.087, ""level_gap"": 1}]"
AYA-HII-009,Hospital II Ayacucho #9,Ayacucho,II-1,Hospital,-12.999434,-73.494712,"[{""target_id"": ""PER-HNAL"", ""weight_km"": 395.591, ""level_gap"": 1}, {""target_id"": ""PER-INEN"", ""weight_km"": 398.745, ""level_gap"": 1}]"
AYA-HII-010,Hospital II Ayacucho #10,Ayacucho,II-2,Hospital,-13.06285,-74.387378,"[{""target_id"": ""PER-HNAL"", ""weight_km"": 305.555, ""level_gap"": 1}, {""target_id"": ""PER-INEN"", ""weight_km"": 308.439, ""level_gap"": 1}]"
AYA-HII-011,Hospital II Ayacucho #11,Ayacucho,II-1,Hospital,-12.559919,-74.954536,"[{""target_id"": ""PER-HNAL"", ""weight_km"": 230.136, ""level_gap"": 1}, {""target_id"": ""PER-INEN"", ""weight_km"": 233.363, ""level_gap"": 1}]"
AYA-HII-012,Hospital II Ayacucho #12,Ayacucho,II-2,Hospital,-12.70833,-74.560833,"[{""target_id"": ""PER-HNAL"", ""weight_km"": 275.584, ""level_gap"": 1}, {""target_id"": ""PER-INEN"", ""weight_km"": 278.756, ""level_gap"": 1}]"
